,DateTime,Ask
0,2012-08-01,2.14
1,2012-08-02,2.13
2,2012-08-03,2.12
3,2012-08-06,2.12
4,2012-08-07,2.14
5,2012-08-08,2.15
6,2012-08-09,2.24
7,2012-08-10,2.25
8,2012-08-13,2.25
9,2012-08-14,2.29
10,2012-08-16,2.35
11,2012-08-17,2.33
12,2012-08-20,2.33
13,2012-08-21,2.33
14,2012-08-22,2.35
15,2012-08-23,2.32
16,2012-08-24,2.26
17,2012-08-27,2.22
18,2012-08-28,2.16
19,2012-08-29,2.14
20,2012-08-30,2.2
21,2012-08-31,2.17
22,2012-09-03,2.14
23,2012-09-04,2.14
24,2012-09-05,2.14
25,2012-09-06,2.11
26,2012-09-07,2.11
27,2012-09-10,2.09
28,2012-09-11,2.1
29,2012-09-12,2.14
30,2012-09-13,2.18
31,2012-09-14,2.22
32,2012-09-17,2.22
33,2012-09-18,2.14
34,2012-09-19,2.16
35,2012-09-20,2.13
36,2012-09-21,2.08
37,2012-09-24,2.12
38,2012-09-25,2.07
39,2012-09-26,2.09
40,2012-09-27,2.13
41,2012-09-28,2.13
42,2012-10-02,2.09
43,2012-10-04,2.05
44,2012-10-05,2.08
45,2012-10-08,2.12
46,2012-10-09,2.09
47,2012-10-10,2.02
48,2012-10-11,2.1
49,2012-10-12,2.16
50,2012-10-15,2.12
51,2012-10-16,2.17
52,2012-10-17,2.16
53,2012-10-18,2.17
54,2012-10-19,2.18
55,2012-10-22,2.16
56,2012-10-23,2.13
57,2012-10-24,2.11
58,2012-10-25,2.09
59,2012-10-26,2.07
60,2012-10-29,2.08
61,2012-10-30,2.09
62,2012-10-31,2.09
63,2012-11-01,2.07
64,2012-11-02,2.09
65,2012-11-05,2.09
66,2012-11-06,2.09
67,2012-11-07,2.11
68,2012-11-08,2.07
69,2012-11-09,2.07
70,2012-11-12,2.06
71,2012-11-13,2.05
72,2012-11-14,2.02
73,2012-11-15,2
74,2012-11-16,1.98
75,2012-11-19,1.98
76,2012-11-20,1.98
77,2012-11-21,1.97
78,2012-11-22,1.97
79,2012-11-23,1.99
80,2012-11-26,2.04
81,2012-11-27,2.06
82,2012-11-28,2.06
83,2012-11-29,2.06
84,2012-11-30,2.08
85,2012-12-03,2.08
86,2012-12-04,2.09
87,2012-12-05,2.1
88,2012-12-06,2.12
89,2012-12-07,2.11
90,2012-12-10,2.04
91,2012-12-11,2.02
92,2012-12-12,2.31
93,2012-12-13,2.37
94,2012-12-14,2.39
95,2012-12-17,2.44
96,2012-12-18,2.46
97,2012-12-20,2.5
98,2012-12-21,2.48
99,2012-12-24,2.5
100,2012-12-26,2.53
101,2012-12-27,2.52
102,2012-12-28,2.27
103,2012-12-31,2.27
104,2013-01-02,2.57
105,2013-01-03,2.52
106,2013-01-04,2.46
