,DateTime,Bid,Ask,10,
0,2012-08-01,2.84,2.14,2012-08-01,41122
1,2012-08-02,2.81,2.13,2012-08-02,41123
2,2012-08-03,2.78,2.12,2012-08-03,41124
3,2012-08-06,2.8,2.12,2012-08-06,41127
4,2012-08-07,2.81,2.14,2012-08-07,41128
5,2012-08-08,2.82,2.15,2012-08-08,41129
6,2012-08-09,2.87,2.24,2012-08-09,41130
7,2012-08-10,2.84,2.25,2012-08-10,41131
8,2012-08-13,2.84,2.25,2012-08-13,41134
9,2012-08-14,2.89,2.29,2012-08-14,41135
10,2012-08-16,2.96,2.35,2012-08-16,41137
11,2012-08-17,2.94,2.33,2012-08-17,41138
12,2012-08-20,2.96,2.33,2012-08-20,41141
13,2012-08-21,2.92,2.33,2012-08-21,41142
14,2012-08-22,2.93,2.35,2012-08-22,41143
15,2012-08-23,2.91,2.32,2012-08-23,41144
16,2012-08-24,2.87,2.26,2012-08-24,41145
17,2012-08-27,2.88,2.22,2012-08-27,41148
18,2012-08-28,2.88,2.16,2012-08-28,41149
19,2012-08-29,2.87,2.14,2012-08-29,41150
20,2012-08-30,2.86,2.2,2012-08-30,41151
21,2012-08-31,2.84,2.17,2012-08-31,41152
22,2012-09-03,2.81,2.14,2012-09-03,41155
23,2012-09-04,2.81,2.14,2012-09-04,41156
24,2012-09-05,2.78,2.14,2012-09-05,41157
25,2012-09-06,2.8,2.11,2012-09-06,41158
26,2012-09-07,2.8,2.11,2012-09-07,41159
27,2012-09-10,2.85,2.09,2012-09-10,41162
28,2012-09-11,2.83,2.1,2012-09-11,41163
29,2012-09-12,2.85,2.14,2012-09-12,41164
30,2012-09-13,2.89,2.18,2012-09-13,41165
31,2012-09-14,2.91,2.22,2012-09-14,41166
32,2012-09-17,2.95,2.22,2012-09-17,41169
33,2012-09-18,2.91,2.14,2012-09-18,41170
34,2012-09-19,2.92,2.16,2012-09-19,41171
35,2012-09-20,2.88,2.13,2012-09-20,41172
36,2012-09-21,2.9,2.08,2012-09-21,41173
37,2012-09-24,2.88,2.12,2012-09-24,41176
38,2012-09-25,2.87,2.07,2012-09-25,41177
39,2012-09-26,2.87,2.09,2012-09-26,41178
40,2012-09-27,2.87,2.13,2012-09-27,41179
41,2012-09-28,2.85,2.13,2012-09-28,41180
42,2012-10-02,2.82,2.09,2012-10-02,41184
43,2012-10-04,2.79,2.05,2012-10-04,41186
44,2012-10-05,2.8,2.08,2012-10-05,41187
45,2012-10-08,2.8,2.12,2012-10-08,41190
46,2012-10-09,2.79,2.09,2012-10-09,41191
47,2012-10-10,2.75,2.02,2012-10-10,41192
48,2012-10-11,2.76,2.1,2012-10-11,41193
49,2012-10-12,2.77,2.16,2012-10-12,41194
50,2012-10-15,2.76,2.12,2012-10-15,41197
51,2012-10-16,2.8,2.17,2012-10-16,41198
52,2012-10-17,2.81,2.16,2012-10-17,41199
53,2012-10-18,2.83,2.17,2012-10-18,41200
54,2012-10-19,2.8,2.18,2012-10-19,41201
55,2012-10-22,2.81,2.16,2012-10-22,41204
56,2012-10-23,2.78,2.13,2012-10-23,41205
57,2012-10-24,2.76,2.11,2012-10-24,41206
58,2012-10-25,2.76,2.09,2012-10-25,41207
59,2012-10-26,2.73,2.07,2012-10-26,41208
60,2012-10-29,2.73,2.08,2012-10-29,41211
61,2012-10-30,2.73,2.09,2012-10-30,41212
62,2012-10-31,2.74,2.09,2012-10-31,41213
63,2012-11-01,2.73,2.07,2012-11-01,41214
64,2012-11-02,2.75,2.09,2012-11-02,41215
65,2012-11-05,1.75,2.09,2012-11-05,41218
66,2012-11-06,2.74,2.09,2012-11-06,41219
67,2012-11-07,2.74,2.11,2012-11-07,41220
68,2012-11-08,2.72,2.07,2012-11-08,41221
69,2012-11-09,2.75,2.07,2012-11-09,41222
70,2012-11-12,2.75,2.06,2012-11-12,41225
71,2012-11-13,2.73,2.05,2012-11-13,41226
72,2012-11-14,2.75,2.02,2012-11-14,41227
73,2012-11-15,2.75,2,2012-11-15,41228
74,2012-11-16,2.75,1.98,2012-11-16,41229
75,2012-11-19,2.76,1.98,2012-11-19,41232
76,2012-11-20,2.77,1.98,2012-11-20,41233
77,2012-11-21,2.76,1.97,2012-11-21,41234
78,2012-11-22,2.78,1.97,2012-11-22,41235
79,2012-11-23,2.79,1.99,2012-11-23,41236
80,2012-11-26,2.78,2.04,2012-11-26,41239
81,2012-11-27,2.78,2.06,2012-11-27,41240
82,2012-11-28,2.78,2.06,2012-11-28,41241
83,2012-11-29,2.78,2.06,2012-11-29,41242
84,2012-11-30,2.78,2.08,2012-11-30,41243
85,2012-12-03,2.78,2.08,2012-12-03,41246
86,2012-12-04,2.78,2.09,2012-12-04,41247
87,2012-12-05,2.79,2.1,2012-12-05,41248
88,2012-12-06,2.77,2.12,2012-12-06,41249
89,2012-12-07,2.75,2.11,2012-12-07,41250
90,2012-12-10,2.79,2.04,2012-12-10,41253
91,2012-12-11,2.78,2.02,2012-12-11,41254
92,2012-12-12,2.77,2.31,2012-12-12,41255
93,2012-12-13,2.79,2.37,2012-12-13,41256
94,2012-12-14,2.8,2.39,2012-12-14,41257
95,2012-12-17,2.8,2.44,2012-12-17,41260
96,2012-12-18,2.81,2.46,2012-12-18,41261
97,2012-12-20,2.8,2.5,2012-12-20,41263
98,2012-12-21,2.79,2.48,2012-12-21,41264
99,2012-12-24,2.79,2.5,2012-12-24,41267
100,2012-12-26,2.81,2.53,2012-12-26,41269
101,2012-12-27,2.79,2.52,2012-12-27,41270
102,2012-12-28,2.78,2.27,2012-12-28,41271
103,2012-12-31,2.78,2.27,2012-12-31,41274
104,2013-01-02,2.77,2.57,2013-01-02,41276
105,2013-01-03,2.72,2.52,2013-01-03,41277
106,2013-01-04,2.73,2.46,2013-01-04,41278
107,2013-01-07,2.74,2.47,2013-01-07,41281
108,2013-01-08,2.73,2.44,2013-01-08,41282
109,2013-01-09,2.74,2.44,2013-01-09,41283
110,2013-01-10,2.7,2.38,2013-01-10,41284
111,2013-01-11,2.74,2.2,2013-01-11,41285
112,2013-01-14,2.74,2.23,2013-01-14,41288
113,2013-01-15,2.73,2.24,2013-01-15,41289
114,2013-01-16,2.73,2.22,2013-01-16,41290
115,2013-01-17,2.72,2.21,2013-01-17,41291
116,2013-01-18,2.74,2.21,2013-01-18,41292
117,2013-01-21,2.73,2.17,2013-01-21,41295
118,2013-01-22,2.73,2.19,2013-01-22,41296
119,2013-01-23,2.73,2.18,2013-01-23,41297
120,2013-01-24,2.72,2.18,2013-01-24,41298
121,2013-01-25,2.72,2.18,2013-01-25,41299
122,2013-01-28,2.73,2.14,2013-01-28,41302
123,2013-01-29,2.72,2.16,2013-01-29,41303
124,2013-01-30,2.76,2.15,2013-01-30,41304
125,2013-01-31,2.76,2.15,2013-01-31,41305
126,2013-02-01,2.76,2.14,2013-02-01,41306
127,2013-02-04,2.76,2.14,2013-02-04,41309
128,2013-02-05,2.75,2.12,2013-02-05,41310
129,2013-02-06,2.74,2.1,2013-02-06,41311
130,2013-02-07,2.73,2.1,2013-02-07,41312
131,2013-02-08,2.73,2.08,2013-02-08,41313
132,2013-02-12,2.71,2.08,2013-02-12,41317
133,2013-02-13,2.71,2.37,2013-02-13,41318
134,2013-02-14,2.71,2.39,2013-02-14,41319
135,2013-02-15,2.71,2.16,2013-02-15,41320
136,2013-02-18,2.69,2.43,2013-02-18,41323
137,2013-02-19,2.68,2.43,2013-02-19,41324
138,2013-02-20,2.69,2.44,2013-02-20,41325
139,2013-02-21,2.68,2.43,2013-02-21,41326
140,2013-02-22,2.69,2.45,2013-02-22,41327
141,2013-02-25,2.68,2.48,2013-02-25,41330
142,2013-02-26,2.67,2.44,2013-02-26,41331
143,2013-02-27,2.66,2.45,2013-02-27,41332
144,2013-02-28,2.67,2.42,2013-02-28,41333
145,2013-03-04,2.67,2.4,2013-03-04,41337
146,2013-03-05,2.66,2.42,2013-03-05,41338
147,2013-03-06,2.68,2.45,2013-03-06,41339
148,2013-03-07,2.69,2.44,2013-03-07,41340
149,2013-03-08,2.68,2.46,2013-03-08,41341
150,2013-03-11,2.69,2.47,2013-03-11,41344
151,2013-03-12,2.66,2.49,2013-03-12,41345
152,2013-03-13,2.67,2.5,2013-03-13,41346
153,2013-03-14,2.67,2.5,2013-03-14,41347
154,2013-03-15,2.69,2.21,2013-03-15,41348
155,2013-03-18,2.67,2.46,2013-03-18,41351
156,2013-03-19,2.67,2.46,2013-03-19,41352
157,2013-03-20,2.67,2.45,2013-03-20,41353
158,2013-03-21,2.68,2.43,2013-03-21,41354
159,2013-03-22,2.67,2.39,2013-03-22,41355
160,2013-03-25,2.68,2.41,2013-03-25,41358
161,2013-03-26,2.68,2.41,2013-03-26,41359
162,2013-03-27,2.68,2.41,2013-03-27,41360
163,2013-03-28,2.6,2.31,2013-03-28,41361
164,2013-03-29,2.63,2.32,2013-03-29,41362
165,2013-04-01,2.62,2.3,2013-04-01,41365
166,2013-04-02,2.62,2.3,2013-04-02,41366
167,2013-04-03,2.62,2.3,2013-04-03,41367
168,2013-04-04,2.6,1.9,2013-04-04,41368
169,2013-04-05,2.58,1.8,2013-04-05,41369
170,2013-04-08,2.57,1.53,2013-04-08,41372
171,2013-04-09,2.59,1.86,2013-04-09,41373
172,2013-04-10,2.58,1.81,2013-04-10,41374
173,2013-04-11,2.67,1.91,2013-04-11,41375
174,2013-04-12,2.69,1.89,2013-04-12,41376
175,2013-04-15,2.67,1.84,2013-04-15,41379
176,2013-04-16,2.64,1.84,2013-04-16,41380
177,2013-04-17,2.65,1.79,2013-04-17,41381
178,2013-04-18,2.63,1.78,2013-04-18,41382
179,2013-04-19,2.65,1.85,2013-04-19,41383
180,2013-04-22,2.65,1.83,2013-04-22,41386
181,2013-04-23,2.65,1.8,2013-04-23,41387
182,2013-04-24,2.66,1.74,2013-04-24,41388
183,2013-04-25,2.64,1.7,2013-04-25,41389
184,2013-04-26,2.63,1.61,2013-04-26,41390
185,2013-04-29,2.63,1.56,2013-04-29,41393
186,2013-04-30,2.61,1.58,2013-04-30,41394
187,2013-05-02,2.58,1.61,2013-05-02,41396
188,2013-05-03,2.59,1.7,2013-05-03,41397
189,2013-05-06,2.64,1.7,2013-05-06,41400
190,2013-05-07,2.63,1.59,2013-05-07,41401
191,2013-05-08,2.64,1.68,2013-05-08,41402
192,2013-05-09,2.58,1.67,2013-05-09,41403
193,2013-05-10,2.58,1.65,2013-05-10,41404
194,2013-05-13,2.58,1.65,2013-05-13,41407
195,2013-05-14,2.57,1.67,2013-05-14,41408
196,2013-05-15,2.58,1.67,2013-05-15,41409
197,2013-05-16,2.58,1.66,2013-05-16,41410
198,2013-05-20,2.6,1.9,2013-05-20,41414
199,2013-05-21,2.6,1.92,2013-05-21,41415
200,2013-05-22,2.6,1.9,2013-05-22,41416
201,2013-05-23,2.59,1.84,2013-05-23,41417
202,2013-05-24,2.6,1.83,2013-05-24,41418
203,2013-05-27,2.59,1.85,2013-05-27,41421
204,2013-05-28,2.61,1.86,2013-05-28,41422
205,2013-05-29,2.66,1.86,2013-05-29,41423
206,2013-05-30,2.65,1.89,2013-05-30,41424
207,2013-05-31,2.66,1.98,2013-05-31,41425
208,2013-06-03,2.66,1.98,2013-06-03,41428
209,2013-06-04,2.66,1.99,2013-06-04,41429
210,2013-06-05,2.66,1.99,2013-06-05,41430
211,2013-06-07,2.64,1.99,2013-06-07,41432
212,2013-06-10,2.66,1.99,2013-06-10,41435
213,2013-06-11,2.68,1.92,2013-06-11,41436
214,2013-06-12,2.68,1.9,2013-06-12,41437
215,2013-06-13,2.65,1.84,2013-06-13,41438
216,2013-06-14,2.65,1.92,2013-06-14,41439
217,2013-06-17,2.67,1.9,2013-06-17,41442
218,2013-06-18,2.67,1.87,2013-06-18,41443
219,2013-06-19,2.69,1.83,2013-06-19,41444
220,2013-06-20,2.75,1.68,2013-06-20,41445
221,2013-06-21,2.77,1.73,2013-06-21,41446
222,2013-06-24,2.8,1.69,2013-06-24,41449
223,2013-06-25,2.76,1.74,2013-06-25,41450
224,2013-06-26,2.74,1.79,2013-06-26,41451
225,2013-06-27,2.74,1.81,2013-06-27,41452
226,2013-06-28,2.72,1.9,2013-06-28,41453
227,2013-07-01,2.76,1.87,2013-07-01,41456
228,2013-07-02,2.76,1.87,2013-07-02,41457
229,2013-07-03,2.74,1.92,2013-07-03,41458
230,2013-07-04,2.73,1.92,2013-07-04,41459
231,2013-07-05,2.73,1.92,2013-07-05,41460
232,2013-07-08,2.75,1.88,2013-07-08,41463
233,2013-07-09,2.74,1.93,2013-07-09,41464
234,2013-07-10,2.72,1.93,2013-07-10,41465
235,2013-07-11,2.69,1.96,2013-07-11,41466
236,2013-07-12,2.71,1.92,2013-07-12,41467
237,2013-07-15,2.71,1.93,2013-07-15,41470
238,2013-07-16,2.71,1.95,2013-07-16,41471
239,2013-07-17,2.72,1.95,2013-07-17,41472
240,2013-07-18,2.7,1.93,2013-07-18,41473
241,2013-07-19,2.7,1.95,2013-07-19,41474
242,2013-07-22,2.69,1.97,2013-07-22,41477
243,2013-07-23,2.7,2,2013-07-23,41478
244,2013-07-24,2.7,2.02,2013-07-24,41479
245,2013-07-25,2.72,2.05,2013-07-25,41480
246,2013-07-26,2.72,2.06,2013-07-26,41481
247,2013-07-29,2.7,2.1,2013-07-29,41484
