,Unnamed: 0,DateTime,1Y,Ask,전일비,Bid,전일비.1,Mid,전일비.2,2Y,Ask.1,전일비.3,Bid.1,전일비.4,Mid.1,전일비.5,3Y,Ask.2,전일비.6,Bid.2,전일비.7,Mid.2,전일비.8,5Y,Ask.3,전일비.9,Bid.3,전일비.10,Mid.3,전일비.11,10Y,Ask.4,전일비.12,Bid.4,전일비.13,Mid.4,전일비.14
0,0,2012-08-01,1Y,2.14,0.0,2.04,0.0,2.09,0.0,2Y,1.86,0.0,1.77,0.01,1.815,0.005,3Y,1.86,0.0,1.76,-0.02,1.81,-0.01,5Y,1.77,-0.05,1.67,-0.05,1.72,-0.05,10Y,1.88,-0.05,1.78,-0.05,1.83,-0.05
1,1,2012-08-02,1Y,2.13,-0.01,2.03,-0.01,2.08,-0.01,2Y,1.9,0.04,1.79,0.02,1.845,0.03,3Y,1.9,0.04,1.8,0.04,1.85,0.04,5Y,1.81,0.04,1.71,0.04,1.76,0.04,10Y,1.92,0.04,1.82,0.04,1.87,0.04
2,2,2012-08-03,1Y,2.12,-0.01,2.02,-0.01,2.07,-0.01,2Y,1.88,-0.02,1.78,-0.01,1.83,-0.015,3Y,1.88,-0.02,1.78,-0.02,1.83,-0.02,5Y,1.73,-0.08,1.63,-0.08,1.68,-0.08,10Y,1.77,-0.15,1.67,-0.15,1.72,-0.15
3,3,2012-08-06,1Y,2.12,0.0,2.02,0.0,2.07,0.0,2Y,1.85,-0.03,1.76,-0.02,1.805,-0.025,3Y,1.85,-0.03,1.75,-0.03,1.8,-0.03,5Y,1.69,-0.04,1.59,-0.04,1.64,-0.04,10Y,1.73,-0.04,1.63,-0.04,1.68,-0.04
4,4,2012-08-07,1Y,2.14,0.02,2.04,0.02,2.09,0.02,2Y,1.85,0.0,1.79,0.03,1.82,0.015,3Y,1.85,0.0,1.75,0.0,1.8,0.0,5Y,1.62,-0.07,1.52,-0.07,1.57,-0.07,10Y,1.65,-0.08,1.55,-0.08,1.6,-0.08
5,5,2012-08-08,1Y,2.15,0.01,2.05,0.01,2.1,0.01,2Y,1.85,0.0,1.79,0.0,1.82,0.0,3Y,1.85,0.0,1.75,0.0,1.8,0.0,5Y,1.6,-0.02,1.5,-0.02,1.55,-0.02,10Y,1.61,-0.04,1.51,-0.04,1.56,-0.04
6,6,2012-08-09,1Y,2.24,0.09,2.14,0.09,2.19,0.09,2Y,1.89,0.04,1.83,0.04,1.86,0.04,3Y,1.89,0.04,1.79,0.04,1.84,0.04,5Y,1.64,0.04,1.54,0.04,1.59,0.04,10Y,1.65,0.04,1.55,0.04,1.6,0.04
7,7,2012-08-10,1Y,2.25,0.01,2.15,0.01,2.2,0.01,2Y,1.9,0.01,1.84,0.01,1.87,0.01,3Y,1.9,0.01,1.8,0.01,1.85,0.01,5Y,1.65,0.01,1.55,0.01,1.6,0.01,10Y,1.66,0.01,1.56,0.01,1.61,0.01
8,8,2012-08-13,1Y,2.25,0.0,2.15,0.0,2.2,0.0,2Y,1.9,0.0,1.84,0.0,1.87,0.0,3Y,1.9,0.0,1.8,0.0,1.85,0.0,5Y,1.65,0.0,1.55,0.0,1.6,0.0,10Y,1.66,0.0,1.56,0.0,1.61,0.0
9,9,2012-08-14,1Y,2.29,0.04,2.19,0.04,2.24,0.04,2Y,1.93,0.03,1.89,0.05,1.91,0.04,3Y,1.93,0.03,1.83,0.03,1.88,0.03,5Y,1.65,0.0,1.55,0.0,1.6,0.0,10Y,1.66,0.0,1.56,0.0,1.61,0.0
10,10,2012-08-16,1Y,2.35,0.06,2.25,0.06,2.3,0.06,2Y,1.95,0.02,1.93,0.04,1.94,0.03,3Y,1.95,0.02,1.85,0.02,1.9,0.02,5Y,1.63,-0.02,1.53,-0.02,1.58,-0.02,10Y,1.64,-0.02,1.54,-0.02,1.59,-0.02
11,11,2012-08-17,1Y,2.33,-0.02,2.23,-0.02,2.28,-0.02,2Y,1.93,-0.02,1.91,-0.02,1.92,-0.02,3Y,1.93,-0.02,1.83,-0.02,1.88,-0.02,5Y,1.61,-0.02,1.51,-0.02,1.56,-0.02,10Y,1.62,-0.02,1.52,-0.02,1.57,-0.02
12,12,2012-08-20,1Y,2.33,0.0,2.23,0.0,2.28,0.0,2Y,1.93,0.0,1.91,0.0,1.92,0.0,3Y,1.93,0.0,1.83,0.0,1.88,0.0,5Y,1.61,0.0,1.51,0.0,1.56,0.0,10Y,1.63,0.01,1.53,0.01,1.58,0.01
13,13,2012-08-21,1Y,2.33,0.0,2.23,0.0,2.28,0.0,2Y,1.94,0.01,1.92,0.01,1.93,0.01,3Y,1.94,0.01,1.84,0.01,1.89,0.01,5Y,1.63,0.02,1.53,0.02,1.58,0.02,10Y,1.65,0.02,1.55,0.02,1.6,0.02
14,14,2012-08-22,1Y,2.35,0.02,2.25,0.02,2.3,0.02,2Y,1.98,0.04,1.97,0.05,1.975,0.045,3Y,1.98,0.04,1.88,0.04,1.93,0.04,5Y,1.67,0.04,1.57,0.04,1.62,0.04,10Y,1.69,0.04,1.59,0.04,1.64,0.04
15,15,2012-08-23,1Y,2.32,-0.03,2.22,-0.03,2.27,-0.03,2Y,1.96,-0.02,1.94,-0.03,1.95,-0.025,3Y,1.96,-0.02,1.86,-0.02,1.91,-0.02,5Y,1.64,-0.03,1.54,-0.03,1.59,-0.03,10Y,1.66,-0.03,1.56,-0.03,1.61,-0.03
16,16,2012-08-24,1Y,2.26,-0.06,2.16,-0.06,2.21,-0.06,2Y,1.9,-0.06,1.87,-0.07,1.885,-0.065,3Y,1.9,-0.06,1.8,-0.06,1.85,-0.06,5Y,1.58,-0.06,1.48,-0.06,1.53,-0.06,10Y,1.6,-0.06,1.5,-0.06,1.55,-0.06
17,17,2012-08-27,1Y,2.22,-0.04,2.12,-0.04,2.17,-0.04,2Y,1.86,-0.04,1.83,-0.04,1.845,-0.04,3Y,1.86,-0.04,1.76,-0.04,1.81,-0.04,5Y,1.54,-0.04,1.44,-0.04,1.49,-0.04,10Y,1.56,-0.04,1.46,-0.04,1.51,-0.04
18,18,2012-08-28,1Y,2.16,-0.06,2.06,-0.06,2.11,-0.06,2Y,1.81,-0.05,1.78,-0.05,1.795,-0.05,3Y,1.81,-0.05,1.71,-0.05,1.76,-0.05,5Y,1.49,-0.05,1.39,-0.05,1.44,-0.05,10Y,1.51,-0.05,1.41,-0.05,1.46,-0.05
19,19,2012-08-29,1Y,2.14,-0.02,2.04,-0.02,2.09,-0.02,2Y,1.81,0.0,1.76,-0.02,1.785,-0.01,3Y,1.81,0.0,1.71,0.0,1.76,0.0,5Y,1.48,-0.01,1.38,-0.01,1.43,-0.01,10Y,1.51,0.0,1.41,0.0,1.46,0.0
20,20,2012-08-30,1Y,2.2,0.06,2.1,0.06,2.15,0.06,2Y,1.89,0.08,1.84,0.08,1.865,0.08,3Y,1.89,0.08,1.79,0.08,1.84,0.08,5Y,1.56,0.08,1.46,0.08,1.51,0.08,10Y,1.59,0.08,1.49,0.08,1.54,0.08
21,21,2012-08-31,1Y,2.17,-0.03,2.07,-0.03,2.12,-0.03,2Y,1.85,-0.04,1.82,-0.02,1.835,-0.03,3Y,1.85,-0.04,1.75,-0.04,1.8,-0.04,5Y,1.52,-0.04,1.42,-0.04,1.47,-0.04,10Y,1.55,-0.04,1.45,-0.04,1.5,-0.04
22,22,2012-09-03,1Y,2.14,-0.03,2.04,-0.03,2.09,-0.03,2Y,1.84,-0.01,1.79,-0.03,1.815,-0.02,3Y,1.84,-0.01,1.74,-0.01,1.79,-0.01,5Y,1.51,-0.01,1.41,-0.01,1.46,-0.01,10Y,1.54,-0.01,1.44,-0.01,1.49,-0.01
23,23,2012-09-04,1Y,2.14,0.0,2.04,0.0,2.09,0.0,2Y,1.85,0.01,1.8,0.01,1.825,0.01,3Y,1.85,0.01,1.75,0.01,1.8,0.01,5Y,1.52,0.01,1.42,0.01,1.47,0.01,10Y,1.55,0.01,1.45,0.01,1.5,0.01
24,24,2012-09-05,1Y,2.14,0.0,2.04,0.0,2.09,0.0,2Y,1.86,0.01,1.82,0.02,1.84,0.015,3Y,1.86,0.01,1.76,0.01,1.81,0.01,5Y,1.49,-0.03,1.39,-0.03,1.44,-0.03,10Y,1.52,-0.03,1.42,-0.03,1.47,-0.03
25,25,2012-09-06,1Y,2.11,-0.03,2.01,-0.03,2.06,-0.03,2Y,1.83,-0.03,1.79,-0.03,1.81,-0.03,3Y,1.83,-0.03,1.73,-0.03,1.78,-0.03,5Y,1.44,-0.05,1.34,-0.05,1.39,-0.05,10Y,1.47,-0.05,1.37,-0.05,1.42,-0.05
26,26,2012-09-07,1Y,2.11,0.0,2.01,0.0,2.06,0.0,2Y,1.83,0.0,1.79,0.0,1.81,0.0,3Y,1.83,0.0,1.73,0.0,1.78,0.0,5Y,1.44,0.0,1.34,0.0,1.39,0.0,10Y,1.47,0.0,1.37,0.0,1.42,0.0
27,27,2012-09-10,1Y,2.09,-0.02,1.99,-0.02,2.04,-0.02,2Y,1.84,0.01,1.78,-0.01,1.81,0.0,3Y,1.84,0.01,1.74,0.01,1.79,0.01,5Y,1.45,0.01,1.35,0.01,1.4,0.01,10Y,1.51,0.04,1.41,0.04,1.46,0.04
28,28,2012-09-11,1Y,2.1,0.01,2.0,0.01,2.05,0.01,2Y,1.88,0.04,1.8,0.02,1.84,0.03,3Y,1.88,0.04,1.78,0.04,1.83,0.04,5Y,1.5,0.05,1.4,0.05,1.45,0.05,10Y,1.64,0.13,1.54,0.13,1.59,0.13
29,29,2012-09-12,1Y,2.14,0.04,2.04,0.04,2.09,0.04,2Y,1.97,0.09,1.87,0.07,1.92,0.08,3Y,1.97,0.09,1.87,0.09,1.92,0.09,5Y,1.66,0.16,1.56,0.16,1.61,0.16,10Y,1.85,0.21,1.75,0.21,1.8,0.21
30,30,2012-09-13,1Y,2.18,0.04,2.08,0.04,2.13,0.04,2Y,2.06,0.09,1.93,0.06,1.995,0.075,3Y,2.06,0.09,1.96,0.09,2.01,0.09,5Y,1.75,0.09,1.65,0.09,1.7,0.09,10Y,1.93,0.08,1.83,0.08,1.88,0.08
31,31,2012-09-14,1Y,2.22,0.04,2.12,0.04,2.17,0.04,2Y,2.09,0.03,1.97,0.04,2.03,0.035,3Y,2.09,0.03,1.99,0.03,2.04,0.03,5Y,1.8,0.05,1.7,0.05,1.75,0.05,10Y,1.98,0.05,1.88,0.05,1.93,0.05
32,32,2012-09-17,1Y,2.22,0.0,2.12,0.0,2.17,0.0,2Y,2.12,0.03,2.0,0.03,2.06,0.03,3Y,2.12,0.03,2.02,0.03,2.07,0.03,5Y,1.83,0.03,1.73,0.03,1.78,0.03,10Y,2.01,0.03,1.91,0.03,1.96,0.03
33,33,2012-09-18,1Y,2.14,-0.08,2.04,-0.08,2.09,-0.08,2Y,2.02,-0.1,1.92,-0.08,1.97,-0.09,3Y,2.02,-0.1,1.92,-0.1,1.97,-0.1,5Y,1.72,-0.11,1.62,-0.11,1.67,-0.11,10Y,1.96,-0.05,1.86,-0.05,1.91,-0.05
34,34,2012-09-19,1Y,2.16,0.02,2.06,0.02,2.11,0.02,2Y,2.04,0.02,1.94,0.02,1.99,0.02,3Y,2.04,0.02,1.94,0.02,1.99,0.02,5Y,1.74,0.02,1.64,0.02,1.69,0.02,10Y,1.98,0.02,1.88,0.02,1.93,0.02
35,35,2012-09-20,1Y,2.13,-0.03,2.03,-0.03,2.08,-0.03,2Y,1.98,-0.06,1.88,-0.06,1.93,-0.06,3Y,1.98,-0.06,1.88,-0.06,1.93,-0.06,5Y,1.65,-0.09,1.55,-0.09,1.6,-0.09,10Y,1.88,-0.1,1.78,-0.1,1.83,-0.1
36,36,2012-09-21,1Y,2.08,-0.05,1.98,-0.05,2.03,-0.05,2Y,1.88,-0.1,1.78,-0.1,1.83,-0.1,3Y,1.88,-0.1,1.78,-0.1,1.83,-0.1,5Y,1.56,-0.09,1.46,-0.09,1.51,-0.09,10Y,1.82,-0.06,1.72,-0.06,1.77,-0.06
37,37,2012-09-24,1Y,2.12,0.04,2.02,0.04,2.07,0.04,2Y,1.79,-0.09,1.71,-0.07,1.75,-0.08,3Y,1.79,-0.09,1.69,-0.09,1.74,-0.09,5Y,1.46,-0.1,1.36,-0.1,1.41,-0.1,10Y,1.78,-0.04,1.68,-0.04,1.73,-0.04
38,38,2012-09-25,1Y,2.07,-0.05,1.97,-0.05,2.02,-0.05,2Y,1.77,-0.02,1.67,-0.04,1.72,-0.03,3Y,1.77,-0.02,1.67,-0.02,1.72,-0.02,5Y,1.42,-0.04,1.32,-0.04,1.37,-0.04,10Y,1.72,-0.06,1.62,-0.06,1.67,-0.06
39,39,2012-09-26,1Y,2.09,0.02,1.99,0.02,2.04,0.02,2Y,1.81,0.04,1.73,0.06,1.77,0.05,3Y,1.81,0.04,1.71,0.04,1.76,0.04,5Y,1.44,0.02,1.34,0.02,1.39,0.02,10Y,1.74,0.02,1.64,0.02,1.69,0.02
40,40,2012-09-27,1Y,2.13,0.04,2.03,0.04,2.08,0.04,2Y,1.85,0.04,1.77,0.04,1.81,0.04,3Y,1.85,0.04,1.75,0.04,1.8,0.04,5Y,1.48,0.04,1.38,0.04,1.43,0.04,10Y,1.78,0.04,1.68,0.04,1.73,0.04
