,Unnamed: 0,DateTime,1Y,Ask,전일비,Bid,전일비.1,Mid,전일비.2,2Y,Ask.1,전일비.3,Bid.1,전일비.4,Mid.1,전일비.5,3Y,Ask.2,전일비.6,Bid.2,전일비.7,Mid.2,전일비.8,5Y,Ask.3,전일비.9,Bid.3,전일비.10,Mid.3,전일비.11,10Y,Ask.4,전일비.12,Bid.4,전일비.13,Mid.4,전일비.14
0,0,2012-08-01,1Y,2.86,-0.03,2.84,-0.03,2.85,-0.03,2Y,2.75,-0.03,2.73,-0.03,2.74,-0.03,3Y,2.75,-0.03,2.73,-0.03,2.74,-0.03,5Y,2.78,-0.03,2.76,-0.03,2.77,-0.03,10Y,2.92,-0.04,2.9,-0.04,2.91,-0.04
1,1,2012-08-02,1Y,2.83,-0.03,2.81,-0.03,2.82,-0.03,2Y,2.7,-0.05,2.68,-0.05,2.69,-0.05,3Y,2.7,-0.05,2.68,-0.05,2.69,-0.05,5Y,2.73,-0.05,2.71,-0.05,2.72,-0.05,10Y,2.87,-0.05,2.85,-0.05,2.86,-0.05
2,2,2012-08-03,1Y,2.8,-0.03,2.78,-0.03,2.79,-0.03,2Y,2.67,-0.03,2.65,-0.03,2.66,-0.03,3Y,2.67,-0.03,2.65,-0.03,2.66,-0.03,5Y,2.7,-0.03,2.68,-0.03,2.69,-0.03,10Y,2.85,-0.02,2.83,-0.02,2.84,-0.02
3,3,2012-08-06,1Y,2.82,0.02,2.8,0.02,2.81,0.02,2Y,2.69,0.02,2.67,0.02,2.68,0.02,3Y,2.69,0.02,2.67,0.02,2.68,0.02,5Y,2.72,0.02,2.7,0.02,2.71,0.02,10Y,2.86,0.01,2.84,0.01,2.85,0.01
4,4,2012-08-07,1Y,2.83,0.01,2.81,0.01,2.82,0.01,2Y,2.69,0.0,2.67,0.0,2.68,0.0,3Y,2.69,0.0,2.67,0.0,2.68,0.0,5Y,2.73,0.01,2.71,0.01,2.72,0.01,10Y,2.88,0.02,2.86,0.02,2.87,0.02
5,5,2012-08-08,1Y,2.84,0.01,2.82,0.01,2.83,0.01,2Y,2.71,0.02,2.69,0.02,2.7,0.02,3Y,2.71,0.02,2.69,0.02,2.7,0.02,5Y,2.75,0.02,2.73,0.02,2.74,0.02,10Y,2.91,0.03,2.89,0.03,2.9,0.03
6,6,2012-08-09,1Y,2.89,0.05,2.87,0.05,2.88,0.05,2Y,2.77,0.06,2.75,0.06,2.76,0.06,3Y,2.77,0.06,2.75,0.06,2.76,0.06,5Y,2.8,0.05,2.78,0.05,2.79,0.05,10Y,2.95,0.04,2.93,0.04,2.94,0.04
7,7,2012-08-10,1Y,2.86,-0.03,2.84,-0.03,2.85,-0.03,2Y,2.73,-0.04,2.71,-0.04,2.72,-0.04,3Y,2.73,-0.04,2.71,-0.04,2.72,-0.04,5Y,2.75,-0.05,2.73,-0.05,2.74,-0.05,10Y,2.9,-0.05,2.88,-0.05,2.89,-0.05
8,8,2012-08-13,1Y,2.86,0.0,2.84,0.0,2.85,0.0,2Y,2.73,0.0,2.71,0.0,2.72,0.0,3Y,2.73,0.0,2.71,0.0,2.72,0.0,5Y,2.75,0.0,2.73,0.0,2.74,0.0,10Y,2.9,0.0,2.88,0.0,2.89,0.0
9,9,2012-08-14,1Y,2.91,0.05,2.89,0.05,2.9,0.05,2Y,2.79,0.06,2.77,0.06,2.78,0.06,3Y,2.79,0.06,2.77,0.06,2.78,0.06,5Y,2.82,0.07,2.8,0.07,2.81,0.07,10Y,2.96,0.06,2.94,0.06,2.95,0.06
10,10,2012-08-16,1Y,2.98,0.07,2.96,0.07,2.97,0.07,2Y,2.9,0.11,2.87,0.1,2.885,0.105,3Y,2.9,0.11,2.88,0.11,2.89,0.11,5Y,2.93,0.11,2.91,0.11,2.92,0.11,10Y,3.08,0.12,3.06,0.12,3.07,0.12
11,11,2012-08-17,1Y,2.96,-0.02,2.94,-0.02,2.95,-0.02,2Y,2.87,-0.03,2.85,-0.02,2.86,-0.025,3Y,2.87,-0.03,2.85,-0.03,2.86,-0.03,5Y,2.9,-0.03,2.88,-0.03,2.89,-0.03,10Y,3.05,-0.03,3.03,-0.03,3.04,-0.03
12,12,2012-08-20,1Y,2.98,0.02,2.96,0.02,2.97,0.02,2Y,2.9,0.03,2.88,0.03,2.89,0.03,3Y,2.9,0.03,2.88,0.03,2.89,0.03,5Y,2.93,0.03,2.91,0.03,2.92,0.03,10Y,3.08,0.03,3.06,0.03,3.07,0.03
13,13,2012-08-21,1Y,2.94,-0.04,2.92,-0.04,2.93,-0.04,2Y,2.85,-0.05,2.83,-0.05,2.84,-0.05,3Y,2.85,-0.05,2.83,-0.05,2.84,-0.05,5Y,2.89,-0.04,2.87,-0.04,2.88,-0.04,10Y,3.04,-0.04,3.02,-0.04,3.03,-0.04
14,14,2012-08-22,1Y,2.95,0.01,2.93,0.01,2.94,0.01,2Y,2.86,0.01,2.84,0.01,2.85,0.01,3Y,2.86,0.01,2.84,0.01,2.85,0.01,5Y,2.9,0.01,2.88,0.01,2.89,0.01,10Y,3.05,0.01,3.03,0.01,3.04,0.01
15,15,2012-08-23,1Y,2.93,-0.02,2.91,-0.02,2.92,-0.02,2Y,2.83,-0.03,2.81,-0.03,2.82,-0.03,3Y,2.83,-0.03,2.81,-0.03,2.82,-0.03,5Y,2.87,-0.03,2.85,-0.03,2.86,-0.03,10Y,3.02,-0.03,3.0,-0.03,3.01,-0.03
16,16,2012-08-24,1Y,2.89,-0.04,2.87,-0.04,2.88,-0.04,2Y,2.79,-0.04,2.77,-0.04,2.78,-0.04,3Y,2.79,-0.04,2.77,-0.04,2.78,-0.04,5Y,2.82,-0.05,2.8,-0.05,2.81,-0.05,10Y,2.97,-0.05,2.95,-0.05,2.96,-0.05
17,17,2012-08-27,1Y,2.9,0.01,2.88,0.01,2.89,0.01,2Y,2.79,0.0,2.77,0.0,2.78,0.0,3Y,2.79,0.0,2.77,0.0,2.78,0.0,5Y,2.82,0.0,2.8,0.0,2.81,0.0,10Y,2.97,0.0,2.95,0.0,2.96,0.0
18,18,2012-08-28,1Y,2.9,0.0,2.88,0.0,2.89,0.0,2Y,2.79,0.0,2.77,0.0,2.78,0.0,3Y,2.79,0.0,2.77,0.0,2.78,0.0,5Y,2.81,-0.01,2.79,-0.01,2.8,-0.01,10Y,2.96,-0.01,2.94,-0.01,2.95,-0.01
19,19,2012-08-29,1Y,2.89,-0.01,2.87,-0.01,2.88,-0.01,2Y,2.77,-0.02,2.76,-0.01,2.765,-0.015,3Y,2.77,-0.02,2.75,-0.02,2.76,-0.02,5Y,2.79,-0.02,2.77,-0.02,2.78,-0.02,10Y,2.94,-0.02,2.92,-0.02,2.93,-0.02
20,20,2012-08-30,1Y,2.88,-0.01,2.86,-0.01,2.87,-0.01,2Y,2.76,-0.01,2.75,-0.01,2.755,-0.01,3Y,2.76,-0.01,2.74,-0.01,2.75,-0.01,5Y,2.79,0.0,2.77,0.0,2.78,0.0,10Y,2.94,0.0,2.92,0.0,2.93,0.0
21,21,2012-08-31,1Y,2.86,-0.02,2.84,-0.02,2.85,-0.02,2Y,2.74,-0.02,2.73,-0.02,2.735,-0.02,3Y,2.74,-0.02,2.72,-0.02,2.73,-0.02,5Y,2.77,-0.02,2.75,-0.02,2.76,-0.02,10Y,2.93,-0.01,2.91,-0.01,2.92,-0.01
22,22,2012-09-03,1Y,2.83,-0.03,2.81,-0.03,2.82,-0.03,2Y,2.7,-0.04,2.69,-0.04,2.695,-0.04,3Y,2.7,-0.04,2.68,-0.04,2.69,-0.04,5Y,2.73,-0.04,2.71,-0.04,2.72,-0.04,10Y,2.89,-0.04,2.87,-0.04,2.88,-0.04
23,23,2012-09-04,1Y,2.83,0.0,2.81,0.0,2.82,0.0,2Y,2.71,0.01,2.7,0.01,2.705,0.01,3Y,2.71,0.01,2.69,0.01,2.7,0.01,5Y,2.74,0.01,2.72,0.01,2.73,0.01,10Y,2.9,0.01,2.88,0.01,2.89,0.01
24,24,2012-09-05,1Y,2.8,-0.03,2.78,-0.03,2.79,-0.03,2Y,2.66,-0.05,2.66,-0.04,2.66,-0.045,3Y,2.66,-0.05,2.64,-0.05,2.65,-0.05,5Y,2.69,-0.05,2.67,-0.05,2.68,-0.05,10Y,2.85,-0.05,2.83,-0.05,2.84,-0.05
25,25,2012-09-06,1Y,2.82,0.02,2.8,0.02,2.81,0.02,2Y,2.67,0.01,2.67,0.01,2.67,0.01,3Y,2.67,0.01,2.65,0.01,2.66,0.01,5Y,2.7,0.01,2.68,0.01,2.69,0.01,10Y,2.86,0.01,2.84,0.01,2.85,0.01
26,26,2012-09-07,1Y,2.82,0.0,2.8,0.0,2.81,0.0,2Y,2.67,0.0,2.67,0.0,2.67,0.0,3Y,2.67,0.0,2.65,0.0,2.66,0.0,5Y,2.7,0.0,2.68,0.0,2.69,0.0,10Y,2.86,0.0,2.84,0.0,2.85,0.0
27,27,2012-09-10,1Y,2.87,0.05,2.85,0.05,2.86,0.05,2Y,2.75,0.08,2.75,0.08,2.75,0.08,3Y,2.75,0.08,2.73,0.08,2.74,0.08,5Y,2.78,0.08,2.76,0.08,2.77,0.08,10Y,2.94,0.08,2.92,0.08,2.93,0.08
28,28,2012-09-11,1Y,2.85,-0.02,2.83,-0.02,2.84,-0.02,2Y,2.73,-0.02,2.73,-0.02,2.73,-0.02,3Y,2.73,-0.02,2.71,-0.02,2.72,-0.02,5Y,2.76,-0.02,2.74,-0.02,2.75,-0.02,10Y,2.92,-0.02,2.9,-0.02,2.91,-0.02
29,29,2012-09-12,1Y,2.87,0.02,2.85,0.02,2.86,0.02,2Y,2.77,0.04,2.77,0.04,2.77,0.04,3Y,2.77,0.04,2.75,0.04,2.76,0.04,5Y,2.8,0.04,2.78,0.04,2.79,0.04,10Y,2.96,0.04,2.94,0.04,2.95,0.04
30,30,2012-09-13,1Y,2.91,0.04,2.89,0.04,2.9,0.04,2Y,2.84,0.07,2.82,0.05,2.83,0.06,3Y,2.84,0.07,2.82,0.07,2.83,0.07,5Y,2.87,0.07,2.85,0.07,2.86,0.07,10Y,3.03,0.07,3.01,0.07,3.02,0.07
31,31,2012-09-14,1Y,2.93,0.02,2.91,0.02,2.92,0.02,2Y,2.85,0.01,2.84,0.02,2.845,0.015,3Y,2.85,0.01,2.83,0.01,2.84,0.01,5Y,2.88,0.01,2.86,0.01,2.87,0.01,10Y,3.05,0.02,3.03,0.02,3.04,0.02
32,32,2012-09-17,1Y,2.97,0.04,2.95,0.04,2.96,0.04,2Y,2.9,0.05,2.88,0.04,2.89,0.045,3Y,2.9,0.05,2.88,0.05,2.89,0.05,5Y,2.93,0.05,2.91,0.05,2.92,0.05,10Y,3.1,0.05,3.08,0.05,3.09,0.05
33,33,2012-09-18,1Y,2.93,-0.04,2.91,-0.04,2.92,-0.04,2Y,2.86,-0.04,2.84,-0.04,2.85,-0.04,3Y,2.86,-0.04,2.84,-0.04,2.85,-0.04,5Y,2.89,-0.04,2.87,-0.04,2.88,-0.04,10Y,3.06,-0.04,3.04,-0.04,3.05,-0.04
34,34,2012-09-19,1Y,2.94,0.01,2.92,0.01,2.93,0.01,2Y,2.87,0.01,2.85,0.01,2.86,0.01,3Y,2.87,0.01,2.85,0.01,2.86,0.01,5Y,2.9,0.01,2.88,0.01,2.89,0.01,10Y,3.07,0.01,3.05,0.01,3.06,0.01
35,35,2012-09-20,1Y,2.9,-0.04,2.88,-0.04,2.89,-0.04,2Y,2.79,-0.08,2.78,-0.07,2.785,-0.075,3Y,2.79,-0.08,2.77,-0.08,2.78,-0.08,5Y,2.82,-0.08,2.8,-0.08,2.81,-0.08,10Y,2.99,-0.08,2.97,-0.08,2.98,-0.08
36,36,2012-09-21,1Y,2.92,0.02,2.9,0.02,2.91,0.02,2Y,2.81,0.02,2.8,0.02,2.805,0.02,3Y,2.81,0.02,2.79,0.02,2.8,0.02,5Y,2.84,0.02,2.82,0.02,2.83,0.02,10Y,3.01,0.02,2.99,0.02,3.0,0.02
37,37,2012-09-24,1Y,2.9,-0.02,2.88,-0.02,2.89,-0.02,2Y,2.78,-0.03,2.77,-0.03,2.775,-0.03,3Y,2.78,-0.03,2.76,-0.03,2.77,-0.03,5Y,2.81,-0.03,2.79,-0.03,2.8,-0.03,10Y,2.98,-0.03,2.96,-0.03,2.97,-0.03
38,38,2012-09-25,1Y,2.89,-0.01,2.87,-0.01,2.88,-0.01,2Y,2.77,-0.01,2.76,-0.01,2.765,-0.01,3Y,2.77,-0.01,2.75,-0.01,2.76,-0.01,5Y,2.8,-0.01,2.78,-0.01,2.79,-0.01,10Y,2.97,-0.01,2.95,-0.01,2.96,-0.01
39,39,2012-09-26,1Y,2.89,0.0,2.87,0.0,2.88,0.0,2Y,2.77,0.0,2.76,0.0,2.765,0.0,3Y,2.77,0.0,2.75,0.0,2.76,0.0,5Y,2.8,0.0,2.78,0.0,2.79,0.0,10Y,2.97,0.0,2.95,0.0,2.96,0.0
40,40,2012-09-27,1Y,2.89,0.0,2.87,0.0,2.88,0.0,2Y,2.79,0.02,2.78,0.02,2.785,0.02,3Y,2.79,0.02,2.77,0.02,2.78,0.02,5Y,2.82,0.02,2.8,0.02,2.81,0.02,10Y,2.99,0.02,2.97,0.02,2.98,0.02
41,41,2012-09-28,1Y,2.87,-0.02,2.85,-0.02,2.86,-0.02,2Y,2.76,-0.03,2.75,-0.03,2.755,-0.03,3Y,2.76,-0.03,2.74,-0.03,2.75,-0.03,5Y,2.8,-0.02,2.78,-0.02,2.79,-0.02,10Y,2.97,-0.02,2.95,-0.02,2.96,-0.02
42,42,2012-10-02,1Y,2.84,-0.03,2.82,-0.03,2.83,-0.03,2Y,2.73,-0.03,2.72,-0.03,2.725,-0.03,3Y,2.73,-0.03,2.71,-0.03,2.72,-0.03,5Y,2.76,-0.04,2.74,-0.04,2.75,-0.04,10Y,2.93,-0.04,2.91,-0.04,2.92,-0.04
43,43,2012-10-04,1Y,2.81,-0.03,2.79,-0.03,2.8,-0.03,2Y,2.7,-0.03,2.69,-0.03,2.695,-0.03,3Y,2.7,-0.03,2.68,-0.03,2.69,-0.03,5Y,2.73,-0.03,2.71,-0.03,2.72,-0.03,10Y,2.9,-0.03,2.88,-0.03,2.89,-0.03
44,44,2012-10-05,1Y,2.82,0.01,2.8,0.01,2.81,0.01,2Y,2.71,0.01,2.7,0.01,2.705,0.01,3Y,2.71,0.01,2.69,0.01,2.7,0.01,5Y,2.74,0.01,2.72,0.01,2.73,0.01,10Y,2.91,0.01,2.89,0.01,2.9,0.01
45,45,2012-10-08,1Y,2.82,0.0,2.8,0.0,2.81,0.0,2Y,2.72,0.01,2.71,0.01,2.715,0.01,3Y,2.72,0.01,2.7,0.01,2.71,0.01,5Y,2.75,0.01,2.73,0.01,2.74,0.01,10Y,2.92,0.01,2.9,0.01,2.91,0.01
46,46,2012-10-09,1Y,2.81,-0.01,2.79,-0.01,2.8,-0.01,2Y,2.71,-0.01,2.7,-0.01,2.705,-0.01,3Y,2.71,-0.01,2.69,-0.01,2.7,-0.01,5Y,2.74,-0.01,2.72,-0.01,2.73,-0.01,10Y,2.91,-0.01,2.89,-0.01,2.9,-0.01
47,47,2012-10-10,1Y,2.77,-0.04,2.75,-0.04,2.76,-0.04,2Y,2.67,-0.04,2.66,-0.04,2.665,-0.04,3Y,2.67,-0.04,2.65,-0.04,2.66,-0.04,5Y,2.7,-0.04,2.68,-0.04,2.69,-0.04,10Y,2.87,-0.04,2.85,-0.04,2.86,-0.04
48,48,2012-10-11,1Y,2.78,0.01,2.76,0.01,2.77,0.01,2Y,2.69,0.02,2.68,0.02,2.685,0.02,3Y,2.69,0.02,2.67,0.02,2.68,0.02,5Y,2.73,0.03,2.71,0.03,2.72,0.03,10Y,2.9,0.03,2.88,0.03,2.89,0.03
49,49,2012-10-12,1Y,2.79,0.01,2.77,0.01,2.78,0.01,2Y,2.71,0.02,2.7,0.02,2.705,0.02,3Y,2.71,0.02,2.69,0.02,2.7,0.02,5Y,2.75,0.02,2.73,0.02,2.74,0.02,10Y,2.92,0.02,2.9,0.02,2.91,0.02
50,50,2012-10-15,1Y,2.78,-0.01,2.76,-0.01,2.77,-0.01,2Y,2.7,-0.01,2.69,-0.01,2.695,-0.01,3Y,2.7,-0.01,2.68,-0.01,2.69,-0.01,5Y,2.73,-0.02,2.71,-0.02,2.72,-0.02,10Y,2.9,-0.02,2.88,-0.02,2.89,-0.02
51,51,2012-10-16,1Y,2.82,0.04,2.8,0.04,2.81,0.04,2Y,2.75,0.05,2.74,0.05,2.745,0.05,3Y,2.75,0.05,2.73,0.05,2.74,0.05,5Y,2.78,0.05,2.76,0.05,2.77,0.05,10Y,2.95,0.05,2.93,0.05,2.94,0.05
52,52,2012-10-17,1Y,2.83,0.01,2.81,0.01,2.82,0.01,2Y,2.78,0.03,2.76,0.02,2.77,0.025,3Y,2.78,0.03,2.76,0.03,2.77,0.03,5Y,2.82,0.04,2.8,0.04,2.81,0.04,10Y,2.99,0.04,2.97,0.04,2.98,0.04
53,53,2012-10-18,1Y,2.85,0.02,2.83,0.02,2.84,0.02,2Y,2.81,0.03,2.79,0.03,2.8,0.03,3Y,2.81,0.03,2.79,0.03,2.8,0.03,5Y,2.85,0.03,2.83,0.03,2.84,0.03,10Y,3.02,0.03,3.0,0.03,3.01,0.03
54,54,2012-10-19,1Y,2.82,-0.03,2.8,-0.03,2.81,-0.03,2Y,2.78,-0.03,2.76,-0.03,2.77,-0.03,3Y,2.78,-0.03,2.76,-0.03,2.77,-0.03,5Y,2.82,-0.03,2.8,-0.03,2.81,-0.03,10Y,3.0,-0.02,2.98,-0.02,2.99,-0.02
55,55,2012-10-22,1Y,2.83,0.01,2.81,0.01,2.82,0.01,2Y,2.81,0.03,2.79,0.03,2.8,0.03,3Y,2.81,0.03,2.79,0.03,2.8,0.03,5Y,2.85,0.03,2.83,0.03,2.84,0.03,10Y,3.04,0.04,3.02,0.04,3.03,0.04
56,56,2012-10-23,1Y,2.8,-0.03,2.78,-0.03,2.79,-0.03,2Y,2.78,-0.03,2.76,-0.03,2.77,-0.03,3Y,2.78,-0.03,2.76,-0.03,2.77,-0.03,5Y,2.84,-0.01,2.82,-0.01,2.83,-0.01,10Y,3.03,-0.01,3.01,-0.01,3.02,-0.01
