,Unnamed: 0,일자,국고1년,국고3년,국고5년,국고10년,통안364일,통안2년
0,0,2012/08/31,2.81,2.76,3.02,3.02,2.82,2.8
1,1,2012/09/03,2.8,2.75,3.0,3.0,2.81,2.78
2,2,2012/09/04,2.81,2.77,3.02,3.02,2.81,2.79
3,3,2012/09/05,2.79,2.74,2.98,2.98,2.79,2.76
4,4,2012/09/06,2.8,2.75,2.99,2.99,2.8,2.77
5,5,2012/09/07,2.85,2.82,3.06,3.06,2.84,2.83
6,6,2012/09/10,2.84,2.8,3.04,3.04,2.82,2.82
7,7,2012/09/11,2.82,2.78,3.01,3.01,2.8,0.0
8,8,2012/09/12,2.84,2.8,3.02,3.02,2.81,2.82
9,9,2012/09/13,2.9,2.87,3.07,3.07,2.86,2.89
10,10,2012/09/14,2.89,2.86,3.08,3.08,2.85,2.88
11,11,2012/09/17,2.92,2.9,3.13,3.13,2.88,2.91
12,12,2012/09/18,2.89,2.86,3.09,3.09,2.86,2.88
13,13,2012/09/19,2.91,2.88,3.12,3.12,2.88,2.9
14,14,2012/09/20,2.86,2.82,3.05,3.05,2.84,2.84
15,15,2012/09/21,2.88,2.84,3.07,3.07,2.85,2.86
16,16,2012/09/24,2.87,2.81,3.05,3.05,2.84,2.84
17,17,2012/09/25,2.86,2.8,3.04,3.04,2.84,2.83
18,18,2012/09/26,2.85,2.79,3.03,3.03,2.84,2.83
19,19,2012/09/27,2.86,2.81,3.05,3.05,2.86,2.85
20,20,2012/09/28,2.84,2.79,3.02,3.02,2.84,2.83
21,21,2012/10/02,2.81,2.76,2.97,2.97,2.81,2.79
22,22,2012/10/04,2.8,2.74,2.95,2.95,2.8,2.77
23,23,2012/10/05,2.81,2.75,2.95,2.95,2.81,2.78
24,24,2012/10/08,2.82,2.76,2.96,2.96,2.81,2.78
25,25,2012/10/10,2.77,2.71,2.91,2.91,2.75,2.73
26,26,2012/10/11,2.8,2.74,2.92,2.92,2.77,2.76
27,27,2012/10/12,2.82,2.77,2.95,2.95,2.79,2.79
28,28,2012/10/15,2.81,2.76,2.94,2.94,2.78,2.78
29,29,2012/10/16,2.83,2.78,2.96,2.96,2.8,2.82
30,30,2012/10/17,2.85,2.81,2.98,2.98,2.82,2.84
31,31,2012/10/18,2.86,2.84,3.02,3.02,2.84,2.85
32,32,2012/10/19,2.83,2.81,3.02,3.02,2.82,2.83
33,33,2012/10/22,2.84,2.84,3.04,3.04,2.83,2.86
34,34,2012/10/23,2.81,2.82,3.02,3.02,2.81,2.84
35,35,2012/10/24,2.8,2.81,3.01,3.01,2.8,2.83
36,36,2012/10/25,2.8,2.81,3.01,3.01,2.8,2.83
37,37,2012/10/26,2.78,2.78,2.98,2.98,2.78,2.8
38,38,2012/10/29,2.78,2.79,2.98,2.98,2.79,2.81
39,39,2012/10/30,2.78,2.78,2.98,2.98,2.79,2.8
40,40,2012/10/31,2.77,2.77,2.96,2.96,2.78,2.79
