,Unnamed: 0,DateTime,1Y_베이시스,2Y_베이시스,3Y_베이시스,5Y_베이시스,10Y_베이시스
0,0,2012-08-01,-76.0,-92.5,-93.0,-105.0,-108.0
1,1,2012-08-02,-74.0,-84.5,-84.0,-96.0,-99.0
2,2,2012-08-03,-72.0,-83.0,-83.0,-101.0,-112.0
3,3,2012-08-06,-74.0,-87.5,-88.0,-107.0,-117.0
4,4,2012-08-07,-73.0,-86.0,-88.0,-115.0,-127.0
5,5,2012-08-08,-73.0,-88.0,-90.0,-119.0,-134.0
6,6,2012-08-09,-69.0,-90.0,-92.0,-120.0,-134.0
7,7,2012-08-10,-65.0,-85.0,-87.0,-114.0,-128.0
8,8,2012-08-13,-65.0,-85.0,-87.0,-114.0,-128.0
9,9,2012-08-14,-66.0,-87.0,-90.0,-121.0,-134.0
10,10,2012-08-16,-67.0,-94.5,-99.0,-134.0,-148.0
11,11,2012-08-17,-67.0,-94.0,-98.0,-133.0,-147.0
12,12,2012-08-20,-69.0,-97.0,-101.0,-136.0,-149.0
13,13,2012-08-21,-65.0,-91.0,-95.0,-130.0,-143.0
14,14,2012-08-22,-64.0,-87.5,-92.0,-127.0,-140.0
15,15,2012-08-23,-65.0,-87.0,-91.0,-127.0,-140.0
16,16,2012-08-24,-67.0,-89.5,-93.0,-128.0,-141.0
17,17,2012-08-27,-72.0,-93.5,-97.0,-132.0,-145.0
18,18,2012-08-28,-78.0,-98.5,-102.0,-136.0,-149.0
19,19,2012-08-29,-79.0,-98.0,-100.0,-135.0,-147.0
20,20,2012-08-30,-72.0,-89.0,-91.0,-127.0,-139.0
21,21,2012-08-31,-73.0,-90.0,-93.0,-129.0,-142.0
22,22,2012-09-03,-73.0,-88.0,-90.0,-126.0,-139.0
23,23,2012-09-04,-73.0,-88.0,-90.0,-126.0,-139.0
24,24,2012-09-05,-70.0,-82.0,-84.0,-124.0,-137.0
25,25,2012-09-06,-75.0,-86.0,-88.0,-130.0,-143.0
26,26,2012-09-07,-75.0,-86.0,-88.0,-130.0,-143.0
27,27,2012-09-10,-82.0,-94.0,-95.0,-137.0,-147.0
28,28,2012-09-11,-79.0,-89.0,-89.0,-130.0,-132.0
29,29,2012-09-12,-77.0,-85.0,-84.0,-118.0,-115.0
30,30,2012-09-13,-77.0,-83.5,-82.0,-116.0,-114.0
31,31,2012-09-14,-75.0,-81.5,-80.0,-112.0,-111.0
32,32,2012-09-17,-79.0,-83.0,-82.0,-114.0,-113.0
33,33,2012-09-18,-83.0,-88.0,-88.0,-121.0,-114.0
34,34,2012-09-19,-82.0,-87.0,-87.0,-120.0,-113.0
35,35,2012-09-20,-81.0,-85.5,-85.0,-121.0,-115.0
36,36,2012-09-21,-88.0,-97.5,-97.0,-132.0,-123.0
37,37,2012-09-24,-82.0,-102.5,-103.0,-139.0,-124.0
38,38,2012-09-25,-86.0,-104.5,-104.0,-142.0,-129.0
39,39,2012-09-26,-84.0,-99.5,-100.0,-140.0,-127.0
40,40,2012-09-27,-80.0,-97.5,-98.0,-138.0,-125.0
41,41,2012-09-28,-78.0,-95.5,-96.0,-134.0,-123.0
42,42,2012-10-02,-79.0,-95.5,-96.0,-132.0,-121.0
43,43,2012-10-04,-80.0,-96.0,-96.0,-127.0,-116.0
44,44,2012-10-05,-78.0,-94.0,-94.0,-120.0,-110.0
45,45,2012-10-08,-74.0,-90.0,-90.0,-116.0,-105.0
46,46,2012-10-09,-76.0,-85.5,-85.0,-108.0,-97.0
47,47,2012-10-10,-79.0,-89.0,-89.0,-114.0,-103.0
48,48,2012-10-11,-72.0,-83.5,-83.0,-107.0,-96.0
49,49,2012-10-12,-67.0,-76.5,-76.0,-97.0,-86.0
50,50,2012-10-15,-70.0,-81.0,-80.0,-96.0,-85.0
51,51,2012-10-16,-69.0,-81.0,-80.0,-98.0,-87.0
